问题来源,模块,严重度,问题现象描述,原因分析,改善对策,经验萃取,
PVT,结构,B,摄像头偏心,"1.大公模项目设计公差累计为0.8mm
2.与客户标准未达成一致(亿道标准""不遮挡视角"",客户标0.35mm)","1.设计时需要完全定位摄像头,不使用治具/人为等矫正措施
2.在设计上针对偏心的同心度,要把公差琏做到最少
3.针对紫光项目标准定义为≤0.35mm
4.从项目开始立项与设计需提前定义偏心标准,以便设计按此标准进行≤0.35mm","1.从项目开始立项与结构设计需提前定义偏心标准
笔电 ≤0.35mm
平板 ≤0.30mm
2.前期与客户标准需书面达成一致",
PVT,结构,B,紫光客诉TF卡不防盲插,亿道公模项目并未定义防盲插,"1.在设计初期增加防盲插
2.针对以后带TF卡插槽的项目,需定义防盲插的标准并了解清楚产品是否能达到该标准,如不能达到,提前与设计人员沟通
3.TF卡插口增加骨位挡墙",前期设计时定义接口防盲插标准,
PVT,结构,B,摄像头物理开关跌落测试时断裂,"摄像头物理开关凸出较高(0.7mm-0.8mm)且面积较小,跌落时受到冲击力集中且很大",摄像头物理开关降低凸出C壳高度至0.3mm~0.4mm(实测:0.7~0.8mm),"1.建议物理开关C壳位置做凹槽设计-->如图



2.建议设计时物理开关凸出C壳高度0.3mm~0.4mm",
PVT,结构,B,外观检验发现MIC堵孔（MIC 孔内可见内部泡棉）,"1、MIC泡棉被挤压变形、泡棉孔不规则导致
2、临时方案:MIC 泡棉黏贴在B壳上,孔对准B壳录音孔",1、修改MIC泡棉孔尺寸由原来1.2mm扩大到1.4mm、6/1号验证25PCS，均PASS. ECN自然切换,"
1. 泡棉材质选择压缩量偏小
2. 研发设计MIC孔泡棉尺寸比MIC孔大0.4mm",
PVT,结构,B,电源键漏光 暗环境较明显（安全锁孔位置漏电源灯光）,"1.遮光泡棉黏贴偏位、SOP规范黏贴泡棉位置
2.遮光泡棉设计为1字形、两边有漏光未完全挡光","
遮光泡棉由1字形装、修改为凹字形已改善漏光问题




","研发设计电源灯遮光泡棉为凹字形完全遮挡灯光外漏光现象




",
首单,结构,B,转轴开合最大180°发现左右两边不对称，确认为左边转轴最大角度不能达到165°,"厂商未按照图纸生产,导致转轴轴筒卡止位冲切尺寸无法满足180°","1、结构确认样品测量角度是否满足图纸要求
2、试产过程中检查转轴角度，需放桌面确认左右两边是否对称","1. 结构重点关注转轴轴筒卡止位冲切尺寸，是否满足转轴的设计角度
2.转轴角度为180°~360°的产品，检查转轴角度180°开合最大在桌面确认左右角度是否一致",
首单,结构,B,触摸板下陷段差超出Spec (标准：0.55mm 实际值：0.6~0.7mm),"C壳触摸板弹劈位置向下变形导致、临时措施增加0.15mm泡棉






","修模改善:将C壳触摸板弹劈缺口位置，加胶改善。

","1. 结构开摸前评估C壳触摸板弹劈位置变形的影响，并定义变形度的管控标准
",
售后,器件,A,USB对插后有馈PIN、无功能不良,"1、对成型后产品弹高作确认,标准为0.4-0.7mm,实测为0.64mm,偏上限.
2、再对塑胶模具作确认,发现注塑成型过程中端子压料存在间隙,端子没有被夹持固位,成悬空状态.导致注塑成型时端子根部受压偏移或者歪斜,导致成品部份弹高偏高,与塑胶台价面平齐.


","1、修改模具工件，将零件针对 4PIN 弹片端子落槽位置加.31mm的台阶，直接夹持端子无间隙，固位。
2、对端子弹高管控尺寸作优化调整，降低0.05mm,由原来的1.75mm调整到1.70mm",选取弹片尖部埋入塑胶的USB物料、设计上防溃PIN,
PVT,结构,B,LCD最大角度过压到7-9N，B壳转轴卡勾开裂（标准未定义）,AB壳转轴下侧扣合量偏小,修模改善：修模AB壳卡扣加胶改善,LCD最大角度过压测试标准1kg,
PVT,物料,B,AG958项目生产海盗船客户Perkey键盘灯光效果(混色模式颜色偏浅),"供应商贴片将8组三极管位号交叉贴错导致
正确位号为：
3SIH：Q1 Q3 Q5 Q7 Q9 Q11 Q13 Q15
E1N5l：Q2 Q4 Q6 Q8 Q10 Q12 Q14 Q16","1、临时用主板制作简易治具做检验9种灯光效果
2、研发提供键盘灯光FW，厂商制作治具产线导入及出货检验","1.带背光的键盘，需提供样品至供应商,整机至SI厂,做对比参考
2.供应商需根据样品制作专用检验治具",
PVT,测试工具,B,测试工具上只能测87个按键，958机器实际有102个按键,使用通用按键工具与958机器不匹配导致,优化测试工具按键已匹配AG958项目102个按键,凡是新项目确认测试工具是否能覆盖到所有按键,
PVT,结构,B,TP按压异响,"1.前后壳之间止口配合位太少,支撑面太小,配合面间隙偏大
2.前壳强度太弱,前壳变形后形成空位
3.喇叭位置结构强度弱,没有反插骨管控形变
4.前后壳没有做到管控尺寸","1.增加前后壳配合胶位，保证结构强度
2.在喇叭薄弱部分增加结构支撑
3.前后壳尺寸公差带要匹配，更改前后壳尺寸公差带","1.后续这种半包围结构设计中，要注意前后壳配合胶位不能留太少，结构强度要有保证
2.在薄弱部分要适当增加结构支撑，管控产品的变形
3.前后壳尺寸公差带要匹配",
PVT,结构,A,P-SENSOR失效及距感变化,"1.结构设计生搬硬套旧产品结构方案,换新器件后未根据新器件要求让供应商重新评估方案可行性
2.P-SENSOR组件FPC厚度比设计值小,导致距感胶套与TP接触面两孔没有完全密封
","1.与P-SENSOR供应商检讨，严格按照供应商的规格书指示大小、位置、透光率来开窗修改TP开窗
2.增加P-SENSOR厚度补强板背胶厚度，使胶套与TP面、胶套与IC面密封需要完全密封","1.在结构设计时，TP开窗严格按照P-SENSOR规格书上定义烦人大小、位置、透光率来开窗
2.胶套与TP面、胶套与IC面密封需要完全密封",
PVT,结构,B,TP贴合后轻微按压出现严重水波纹，四角更加严重,"1.LCD屏是软屏,按压易起水波纹
2.盖板厚度0.55mm,整体强度偏差
3.TP为GFF贴合工艺,SENSOR支撑强度不够",结构优化多次，TP+LCD选型客户不同意变更，此问题无法改善。客户接受目前水波纹效果。,针对客户器件选型对可靠性测试有影响是，需提前告知客户风险，重新定义标准,
PVT,结构,B,摄像头马达共振产生喇叭杂音,"摄像头为对焦的自带马达,马达是活动的,摄像头与喇叭的距离太近,产生共振影响",临时在喇叭底部增加泡棉以减少摄像头与喇叭共振（此项目为公模项目改模，无法修改喇叭与摄像头位置）,"1.在结构前期规划评估时，一定要考虑元器件之间的影响
2.结构设计时摄像头尽量远离喇叭",
EVT,结构,A,触摸板的弹性弱,"D壳内衬触控板区域有两个进胶点顶到C壳,导致按键的行程缩短,产生手感不良","C壳进胶口修模更改位置
",后续设计时对塑胶壳进胶点的位置进行结构评审，评估是否对组装有干涉，空间上要对进胶点进行避空,
MP,结构,B,在比亚迪生产过程中，发现耳机孔位置有5%的掉漆,"耳机和耳机孔的同心度有一定的偏差,插拔过程中耳机金属端会磨损到耳机孔的侧边
","耳机孔扩大，由原来的耳机3.9mm 扩大孔径为4.4mm
",ID设计时C壳开口直径设计比耳机座子的直径大约4.4mm~4.5mm数值,
DVT,硬件,A,DVT阶段浪涌测试fail,"硬件上设计抗浪涌测试缺陷
","改layout增加TVS管；改板2片，浪涌用测通过

","1，EVT就要浪涌测试摸底
2，各领域充分评估客户标准，风险项评估加入到NUDD，设计优化持续跟进其关闭
3.作成硬件评审LL和评审check list,后续每个阶段发板前会做相关LL评审。",
售后,器件,A,充电器不充电,"印度市场电压不稳定,高峰电压超过380V,导致充电器被烧坏,电容耐压不足损坏","改善：
1、压敏471，由现在的470V改为561（耐压560V）;
2、两个电解：C1由原来的56UF/450V改为39UF/550V；C2由原来的33UF/450V改为27UF/550V;
3、X电容：由现在的275（275V）改为440V
4、MOS管:由原来的750V改为800V;

",硬件选取适配器规格时需要考虑到产品的市场，如印度试产和非洲市场电压不稳定的情况，选择元器件的耐压性能搞的器件；,
售后,软件,A,屏幕闪屏,"微软补丁更新过程中驱动安装异常,用户驱动未安装完整意外关机导致.
分析过程:开机过程中系统自动更新了且自动更新过程还存在闪屏现象,更新完成后闪屏异常就消失,驱动推送更新.重装亿道提供OS后OK.",重生刷OS系统进行恢复；,系统设置温馨提示：系统更新时，必须等待更新完后再进行关机，不要手动强制关机。,
售后,软件,A,屏幕蓝屏，且不稳定,"1.压测过程中未复现,初步分析为DDR个体单体不良.
2.跑memorytest测试工具过程报错
3.分析结论:DDR物料不良","
增加工厂出货前的拦截策略，在工厂测试老化测试中增加跑memorytest测试，工厂已导入
","
1，研发在前期验证DDR时，增加测试覆盖，充分评估DDR性能稳定性
2，工厂老化测试增加跑memorytest测试",
