模块,严重度,问题现象描述,原因分析,改善对策,经验萃取,评审后优化,评分
物料,A,"2022年9月19日，收到传音售后团队反馈，X1项目售后累计有将近200多块SSD不良补售后备品，寄不良样品回来分析，原因是江波龙的SSD G700型号主控引脚锡裂导致SSD不读盘；

影响：X1项目SSD售后不良最终被定义为批量质量事故，导致客户市场对产品口碑的不良影响，最终按照批量事故处理，执行20W人民币的罚款；",江波龙的SSD G700型号主控引脚锡裂导致SSD不读盘；不良图片如下图：,"临时对策：江波龙对售后备品G700主控和Flash进行点胶工艺，以提高产品的鲁棒性，降低BGA Crack的风险。

长期对策：因X1项目和G700型号SSD均已EOL,所以针对传音项目目前量产项目及后续在研项目的对应SSD均要求点胶后出货；","
1.SSD工艺上优化，主控抗弯折强度增加，主控四周增加点胶，以提高产品鲁棒性（Robust）；
点检人：袁新芳，负责SSD器件
点检时间：关键器件评审前点检；

2.强度可靠性测试规范优化：弯折测试要求23N 提升到30N
点检人：袁新芳，负责SSD器件
点检时间：新项目首次送样，弯折可靠性测试；


","1. SSD主控点胶工艺默认在传音项目上check，在关键器件评审前点检
",4
物料,,"2022年12月1日 收到客户 印度市场售后反馈X2项目出现播放视频音画不同步异常机台46pcs

2022/12/2-12/20  抓取logo给到方案商亿道进行分析,根据亿道分析后提供的方案刷新OS驱动无法解决此问题。
2022/12/21 通过交叉验证发现音画不同步跟随江波龙VP1000 SSD，FW版本：1.16
2022/12/22 对机台进行FW升级，问题解决，新FW版本：1.25

影响：1.影响客户产品的口碑，2.售后不良数据提高，X2项目ARR返修率升高","最终定位到SSD原因为：X2项目icelake平台与江波龙SSD（FW ：V1.16）兼容性问题：
显卡/SSD共享PCIE通道，显卡驱动需要通过PCIe向内存加载画面信息，由于显卡驱动没有缓存机制或者显卡缓存较少，对PCIe访问的实时性要求较高。当SSD从低功耗恢复时，会对PCIe通道有一个9ms的占用，阻塞了显卡对画面数据的加载，导致音画不同步。

","临时对策：
1、针对icelake平台搭配V1.16版本，Longsys提供线下升级包，进行线下升级处理。
2、制定OTA推送升级方案，进行线上升级。
长期对策：
江波龙：
1、将PS4低功耗恢复时间的小于1ms以内，作为研发FW的技术基线。
2、通过集成测试用例，对将PS4低功耗恢复时间的进行卡控，确保后续FW进版不会超过指标。
亿道：
1、亿道梳理研发到生产整个流程的FW管理，不限于SSD的FW（包括屏 触摸板 摄像头等）；
2、新平台提供新平台的方案整机给江波龙进行测试验证SSD


","1.江波龙建立和完善一套FW版本升级验证流程规范：目前已量产项目和新项目的FW变更按照规范流程执行；
点检人：袁新芳，负责SSD器件
点检时间：FW版本ECN变更期间；


2.亿道研发测试制定各关键器件FW版本验证流程：关键器件有变更按照优化流程进行验证和验收


3.制定关键器件FW版本管理表，新项目各个阶段进行点检变更；
FW版本测试：王敏
管理表维护：李章科
维护时间：新项目进入下个进度前确认会议上
新平台样机提供江波龙：PM 刘会银
江波龙输出新平台验证报告给PM","屏、摄像头、TP、触摸板、指纹模组样品承认时稽核是否明确FW版本
",4
物料,A,"2023年5月份收到传音印度地区有电池鼓包的问题反馈，客户安排寄回4片鼓包电池进行根本原因分析

影响：电池鼓包存在很大的安全隐患，影响客户的品牌，严重情况下需要承担一定的法律安全责任；","1.电芯R角开裂，芯在装胶框，人员按压电芯会导致电芯底部R角有损伤风险
2.电芯的表面有被刺破，铝塑膜破损空气水分渗入","1.PACK制程在2022-3-29后导入半自动线，生产工艺优化（电芯点焊保护板后装胶框改为电芯、保护板装胶框后再进行点焊，减少电芯在装胶框过程中损伤）   
                
2.电芯组成&激光焊下面岗位（焊点外观检查）需同步检查电芯有误压伤、破损、胀气、漏液不良","优化电芯装框的作业工艺:
目前已量产项目和新项目，电芯装框工艺由人工手动装框，优化为半自动装框，避免认为因素导致电芯损伤；
拦截策略的优化：
1.电芯组成&激光焊后增加CCD检查（焊点外观检查）检查电芯有误压伤、破损、胀气、漏液不良
2.后续电芯pack后100%增加48H高温老化，增加拦截效果
水平展开
后续导入电池二供，SQE指导并要求供应商执行对应优化方案，或二供提出更优的方案；

供应商改善对策监督：王倩芸
执行节点：月度现场稽核，二供导入
确认资料：电芯pack后48小时高温老化报告；
","器件工艺要求：1.电芯组成&激光焊后增加CCD检查（焊点外观检查）检查电芯有误压伤、破损、胀气、漏液不良
2.后续电芯pack后100%增加48H高温老化，增加拦截效果",4
软件,A,"2023年5月，传音客户印度试产反馈售后问题X2 PLUS(XL25)无法开机数量比较多，
客户从印度市场寄了6片主板回来进行深入分析；
影响：1.不开机问题影响客户产品的口碑，
2.售后不良数据提高，X2 plus项目ARR返修率升高
3.物料寄回的成本及人力投入分析成本有形成本增加；","EC 版本WU推送方式导致导致EC没有完全mirror成功
1、WU推送升级过程当中，存在0xFF 没有被擦除的坏块，导致EC不能够再次开机；","1.改善前：EC和BIOS是分别单体推送,有一定的概率导致BIOS升级失败

2.改善后：EC包在BIOS推送，BIOS SW mirrorEC","制定EC推送规则：
后续所有的EC版本 WU推送采用SW（软件） mirror方式推送
---执行人：软件部 朱利民
---执行节点：当接到需求有EC需要进行WU推送；","EC版本有更新时不能单独推送更新，需要包在BIOS里面通过mirror方式更新
",3
结构,A,"2021年10月在比亚迪进行X2 EVT试产，发现有100%触摸板的弹性弱问题

影响：造成EVT试产的C壳进行进胶口返工；影响试产效率和进度；",D壳内衬触控板区域有两个进胶点顶到C壳，导致按键的行程缩短，产生手感不良,"结构进行D壳进胶口修模更改进胶口位置，避开触摸板区域
",D壳内衬进胶口不能与C壳干涉,在结构评审时check D壳内衬进胶口不能与C壳干涉,4
结构,B,"2022年6月2日，X2项目在比亚迪量产过程中，比亚迪制程有反馈：发现同一位置耳机孔边缘有掉漆现象，问题比例：5%；
影响：同问题比例5%触发比亚迪停线规则，直接导致比亚迪停线了3天，影响量产进度和交期的延误；","耳机和耳机孔的同心度有一定的偏差，插拔过程中耳机金属端会磨损到耳机孔的侧边
","耳机孔扩大，由原来的耳机3.9mm 扩大孔径为4.4mm
","耳机孔直径作为一个结构设计规则：结构图纸设计C壳开口耳机座子的直径4.4mm~4.5mm数值，并在结构评审作为点检项；
点检人：结构工程师
点检时间：新项目结构评审节点
效果确认：各阶段EVT,DVT,PVT
效果确认人：NPI,DQE
确认输出：各阶段试产问题点报告是否有反馈耳机孔有点漆问题；",结构：耳机孔直径作为一个结构设计规则：结构图纸设计C壳开口耳机座子的直径4.4mm~4.5mm数值，并在结构评审作为点检项；,4
硬件,A,"2022年8与19日 传音实验室进行DVT阶段浪涌测试，测试结果fail，没有达到客户要求；
影响：DVT需要重新改板，增加防浪涌设计器件TVS管，改板后需要重新复测，拉长了DVT测试 周期，项目进度拉长","主板硬件上设计没有增加防浪涌的器件
","改善对策：硬件设计改layout增加TVS管；
改善验证：改板2片，浪涌用测通过
执行人：硬件 汪川川
",硬件设计改layout增加TVS管,"
 新项目、新客户评审时根据客户要求、出货市场评估预留TVS管位置",4
物料,A,"2021年8月1日收到X1项目印度地区首返分析的充电器，主要问题是不充电
适配器厂商为吉宏达

影响：客户首个项目首单在印度地区销售，影响客户产品的口碑
",传音首个笔电X1项目首次出印度地区，适配器选型和设计没有考虑到印度市场电压不稳定，电源设计上没有加耐高压元器件，高峰电压超过380V，导致充电器被烧坏，电容耐压不足，元器件损坏,"改善：
1、压敏471，由现在的470V改为561（耐压560V）;
2、两个电解：C1由原来的56UF/450V改为39UF/550V；C2由原来的33UF/450V改为27UF/550V;
3、X电容：由现在的275（275V）改为440V
4、MOS管:由原来的750V改为800V;

","适配器需要满足380V满载测试

","印度市场适配器需要满足380V满载测试
",4
测试,A,"2021年8月1日收到X1项目印度地区首返分，问题现象为开机屏幕蓝屏，且此现象存在不稳定
影响：客户首个项目首单在印度地区销售，影响客户产品的口碑","1.压测过程中未复现，初步分析为DDR个体单体不良。DDR供应商为长鑫
2.跑memorytest测试工具过程报错
3.分析结论：DDR物料不良","
增加工厂出货前的拦截策略，在工厂测试老化测试中增加跑memorytest测试，
","

生产工厂老化测试工具中增加跑memorytest测试项
执行人：研发测试工程师 王敏
执行时间点：新项目各个阶段点检工具是否加入",测试：生产工厂老化测试工具中增加跑memorytest测试项,3
结构,A,"2022年7月21日售后客服部首次接到传音售后团队反馈，X1项目转轴断裂有批量性问题，首次反馈数量60个断裂，后续市场上不断有数据反馈，转轴断裂的数据不断增加；
影响：
1,转轴断裂最终被定义为批量质量事故，产生对应的罚款
2.影响客户的品牌推广和口碑
3.售后成本增加","技术根因：
1、转轴固定支架折断力设计标准（SPEC：12kgf.cm）不满足整机系统需求。
2、转轴的材质选型,锌合金材质压铸成型的固定支架强度不足；
3、固定支架开孔过多导致强度减弱
管理根因：
1、研发阶段可靠性测试的样本数量少，无法充分暴露此风险问题；
2、此项目针对转轴可靠性标准要求摇摆20000万次，标准要求不足；
3、项目量产阶段未安排ORT例行可靠性测试，无法提前暴露此问题。
4、此项目研发时未有效进行风险识别，未识别到锌合金强度不足及开孔过多问题。
","短期方案：
转轴锌合金支架修模增加受力强度，锌合金固定支架整体加长加宽：（左转轴由30*13.4mm增加到30.2*13.6mm；右转轴由30.9*13.4mm增加到31.1*13.6mm）；靠近转轴位2个螺丝孔缩小（直径5.5减少为5.3mm）
长期方案：
a.转轴选型方面选择抗断抗破坏性强的材质，比如钣金件
b.研发阶段可靠性测试增加样本数量，原测试2pcs,增加到4pcs,同步增加极限测试用例 标准25000次，极限40000测试摸底；
c.如果有转轴外观上面需求必须选择锌合金，前期设计的强度的余量设计上要充足；
",后续新项目在转轴选型上面，转轴材质选用钣金材质,"1. 转轴选型方面选择抗断抗破坏性强的材质，比如钣金件
2. 如果有转轴外观上面需求必须选择锌合金，前期设计的强度的余量设计上要充足",4
结构,A,"EVT阶段客户反馈试产样机有严重漏光问题，经DVT试产确认，漏光问题为100%。在DVT和PVT阶段从治具、压合、背胶、物料等各方面验证均未彻底改善。

影响：首单带病生产，使用客签限度样卡出15%漏光超标AB组件，因点胶工艺不易拆屏，造成大量物料损耗。同时也有终端用户因漏光问题导致退机，影响售后数据。","1. 此项目屏选型为IPS屏，受到外力后极易出现漏光现象
2. 屏单体来料已出现漏光，DVT试产时收集数据约52%超出ND8%标准
3. EVT/DVT阶段使用夹子进行保压，存在胶路保压不均导致屏粘接力不均的风险
4. 屏组件采用点胶工艺，点胶、保压制程的波动会导致屏受力不均匀产生漏光","点胶方案改善对策：
1. 拉通屏厂分析单体设计，通过变更粘LCD面的双面胶为门字型改善单体漏光效果
2. 调整屏下支撑泡棉尺寸及位置，使屏与A壳受力更均匀
3. 增加保压盒治具，以保证胶水固化时处于均匀状态
4. A壳点胶面内侧增加塑胶骨位，防止胶水溢到内侧屏上，同时平衡玻璃受压时的压力

导入以上对策后不良从100%下降至15%，依旧无法彻底改善，长期改善对策为用泡棉胶方案代替点胶方案，经验证不良率降至2%以下，改善对策有效，已长期导入。",IPS屏需要选用泡棉胶方案,结构设计：带玻璃盖板的IPS屏需要选用泡棉胶粘贴方案,4
结构,A,"Zero项目DVT阶段可靠性测试时，客户反馈振动测试后A壳脱胶，2F/2T，不良率100%

影响：DVT阶段重新打样测试，拉长DVT测试时间，影响PVT备料节奏","1. 排查壳料达因值符合要求
2. 排查点胶胶路、胶路压合符合要求
3. 进一步排查振动不良机器为做完温度变化后进行测试，分析环测后胶水粘性下降

为验证环测对粘接的影响，增加对比测试，A壳进行环测+振动、仅振动两组试验，结果为仅振动测试ok，环测+振动开胶，可以得出环境对胶水粘接力有负向影响",A壳五金与塑胶bonding区域增加镭雕以加强粘性，经验证效果ok,"壳料的五金与塑胶bonding区域增加镭雕以增加粘合力
---执行人：结构工程师
---执行时间：新项目结构设计阶段
---检查时间：结构评审、EVT/DVT/PVT可靠性测试",传音项目：壳料的五金与塑胶bonding区域增加镭雕以增加粘合力,3
结构,B,"DVT阶段跌落试验后C壳两侧变形造成D壳干涉外突，转轴盖左侧卡扣松间隙超0.3mm

影响：模具修模，影响项目进度","
1. C壳变形内凹：此位置无塑胶支撑，结构强度受限，整机重量大，跌落导致变形
2.转轴盖卡扣松：转轴盖卡扣扣合量不足，受跌落冲击后卡扣松开","
1. 针对C壳变形内凹，增加一个塑胶件bonding在转轴处支撑，验证效果ok
2. 针对转轴盖松，转轴盖扣合量由0.35改到0.5，验证效果ok","1. 对于有跌落要求的产品，需在不影响结构干涉的前提下增加塑胶骨位以增加结构强度，尤其是转轴位置
2. 为避免转轴盖制程/可靠性松脱，需在设计前期评估转轴盖扣合量（参考值：0.5）
---执行人：结构工程师
---执行时间：新项目结构设计阶段
---检查时间：结构评审、EVT/DVT/PVT可靠性测试",结构：为避免转轴盖制程/可靠性松脱，需在设计前期评估转轴盖扣合量（参考值：0.5）,4
结构,A,DVT阶段客户反馈送测的样机测试后发现1pcs屏不显示，连HDMI也无显示,"1. 电源5V短路，再次定位为风扇电源对地短路，风扇拔掉就正常了
2. 通过单体测试，功能、噪音及转速、电流都没有问题都在规格内，但风扇外观有导线压破皮现象
3. 反向验证，将正常机器的风扇故意弄破，不良现象复现

经排查，此台机器为重新装机复测问题点机器，装机过程中风扇排线未理好导致压破排线，但大货依然有风险","1. C壳风扇出线槽单边加大1.0
2. 风扇出线口位置左右侧加刻度线，要求供应商线材出线位置不偏斜","结构设计需确认风扇出线在极限情况是否会与C壳干涉，可以通过以下两个方案增加余量：
①增加C壳出线槽宽度（参考值4.8）
②风扇出线口位置左右侧加刻度线，尽量缩小cable线活动范围
---执行人：结构工程师
---执行时间：新项目结构设计阶段
---检查时间：结构评审、EVT/DVT/PVT可靠性测试","结构：
1. 风扇选型时要求出线位置增加卡扣走线
2. 如风扇无法增加卡扣，需要增加醋酸胶布固定cable线",4
ESD,A,"PVT阶段客户反馈ESD测试时8kv耳机接口卡死，2F/2T，不良100%

影响：导致大货备料delay，影响项目进度","初步排查：
1. PVT测试样机导电海棉的阻抗全部不达标（10-30Ω），我们要求是0.5欧以下；
2. C壳有一个Type-C底下没有镭雕，导电海绵贴上去不导通
供应商分析：
人：贴附泡棉处漏镭雕，作业员未发现直接贴泡棉导致流出；
机：镭雕破阳区域未导入变更后最新图档，造成产品此区域漏镭雕破阳；
法：变更后最新图，未做最新菲林片进行制程管控；
料：辅料泡棉入料，导通测试依照辅料厂测试报告进行验收；未再进行取料测试","亿道端：
1. 要求壳料全部按要求增加镭雕
2. 将不良物料退供应商，重新取阻值合格物料进行复测确认
3. 要求BYD IQC对ESD物料进行阻抗测试 
供应商端：
人：对作业人员进行培训，ACD产品贴附泡棉的镭雕区域增加SOP图示进行重点管控
机：镭雕破阳，开机之前确认镭雕区域比对标准样品与菲林
法：每次设变立即对图档进行发行，并制作最新菲林片，旧菲林进行回收报废；
料：a.辅料厂生产对导电布首件巡检末件的导通阻值重点管控不可超出0.5Ω；
b.IQC每批入料抽检ESD导通阻值不可大于0.5Ω；并记录留样管控追溯；
c.首批组装生产万用表全检，成品按照1.0Ω管控       
d.组装贴附的首件进行ESD导通测试，首末件测试记录，巡查频率5pcs/4H","壳料镭雕区域需要大于导电泡棉贴附面积，做到目视化防呆
---执行人：结构工程师
---执行时间：ESD方案确定后",结构：壳料镭雕区域需要大于导电泡棉贴附面积，做到目视化防呆,4
结构,A,"PVT试产装首件发现摄像头打不开，不良3F/5T，分析为排线元器件短路导致，临时使用美纹胶进行绝缘防护

影响：试产有漏贴现象，造成2pcs摄像头无功能，影响了试产样机产出的数量",摄像头排线表面有贴装元器件，元器件与A壳产生短路导致无功能,已要求排线来料增加绝缘麦拉胶纸覆盖元器件,"对于产品使用的排线（摄像头、屏、指纹、小板等），若表面有元器件裸露，需增加绝缘胶纸进行防护，避免发生短路问题
---执行人：结构工程师
---执行时间：新项目结构设计阶段
---检查时间：结构评审、EVT/DVT/PVT试产",对于产品使用的排线（摄像头、屏、指纹、小板等），若表面有元器件裸露，需增加绝缘胶纸或点胶进行防护，避免发生短路问题,4
结构,A,"EVT阶段发现测试机器接TypeC适配器一面能充电，另外一面无法充电，不良率6F/11T

影响：机器需重新处理，影响EVT测试进度",小板无绝缘麦拉，D壳导电泡棉与typeC座子引脚附近的元器件产生短路，导致typeC无功能,"1. 增加绝缘麦拉胶纸，遮住座子引脚及附近的元器件，避免造成短路
2. BYD测试工具增加测试两面功能，有效拦截不良","1. 针对主板/小板上的绝缘麦拉，需有明确的定位或限位标志，避免员工未贴附到位导致出现不良
---执行人：结构工程师
---执行时间：新项目结构设计阶段
---检查时间：结构评审、EVT/DVT/PVT试产
2. 针对typeC接口，需评估双面测试方式，避免出现单侧不读不良流出
---执行人：测试工程师
---执行时间：EVT试产前",针对typeC接口，需要按照双面测试，避免出现单侧不读不良流出,4
工艺,A,"2022年12月12日，Y1 PLUS项目在比亚迪首次量产，按照客户要求首单2K全检，发现C壳的I/O接口位置区域划伤，不良不良10%左右

影响：外观划伤不良需要进行返工，影响量产进度和交付周期","1.现场确认为USB口边缘划伤，根据此现象确认为USB口插拔过程中刮蹭造成；
2.根据不良制成排查在DL1、FCT、DL2工位均需要插拔USB，模拟不良使用USB插拔如斜插斜拔会刮蹭到C壳USB口而导致掉漆，正常垂直插拔不易刮蹭到USB口，因此确认为员工作业手法错误导致；","1.重新培训员工操作技巧和手法，跟进作业效果，要求员工严格按照SOP要求进行自检。
2.长期对策：壳料来料导入防护美纹胶纸；","喷漆件塑胶壳I/O接口增加美纹胶保护；
执行人：结构工程师
执行节点：模具开模评审
效果确认：新产品各阶段的试产
效果输出：试产问题点报告确认是否有I/O接口区域有划伤的问题
效果确认人：NPI工程师，DQE工程师","喷漆件塑胶壳I/O接口增加美纹胶保护
（传音项目100%执行，公版项目逐步推行）",3
结构,A,"2023年7月20日接到客户反馈，Zero笔记本在客户端使用中，有1台角度出现脱落，脱落现象如右图：

影响：Zero项目做完infinix旗舰机，客户体验差，影响对品牌的口碑影响大",Zero的D壳为五金模具冲压成型，脚垫埋入的深度不够，相比塑胶件的埋入深度是,"改善对策：
1.脚垫的背胶由3M改成泡棉，
通过实验验证结果泡棉胶的效果比3M效果要好；
2.脚垫贴敷区域增加镭雕，增加背胶
3.同步与模厂评估是否可以改成双色工艺，这个结构确认回复，这个壳子改动特别大，建议在新机型上导入；","新项目在前期开模评审，脚垫设计为双色模工艺，通过热熔在壳子上面
执行人：结构工程师
执行节点：模具开模评审
效果确认：新产品各阶段的试产
效果输出：跟进试产和
效果确认人：NPI工程师，DQE工程师","新项目在前期开模评审，脚垫设计为双色模工艺，通过热熔在壳子上面
（传音项目100%执行，公版项目逐步推行）",3
工艺,A,"2023年7月26日，硬件去比亚迪现场分析主板功能不良，确认发现主板的元器件撞件问题居多，比例约占20%

影响：生产的直通率低，增加维修成本，同时有隐性的售后风险",设计端做原因分析：目前的设计是元器件距离板边和螺丝柱的距离是1mm或1.5mm，更容易导致撞件风险,硬件优化设计规范：优化后元器件距离边缘和螺丝柱1.5mm以上；,"元器件距离螺丝柱1.5mm以上；
执行人：硬件工程师
执行节点：layout评审
效果确认：layout手板，EVT，DVT阶段确认",元器件距离螺丝柱1.5mm以上,3
结构,A,"2023年8月16日，Y3 MAX比亚迪是试产反馈到，喇叭功能不良2%，
分析发现喇叭线在电池螺丝柱位置压线了
影响：试产直通率低，喇叭功能不良，存在喇叭存在隐形不良隐患
",设计端原因分析：喇叭线没有卡线槽，喇叭线通过主板麦拉进行固定，螺丝柱的位置没有麦拉固定位置，导致理线后有一定概率压到喇叭线的风险,临时对策：喇叭理线方式优化，改善前：喇叭理线走电池下方，改善后：喇叭理线走电池螺丝柱上方,"新项目结构上优化设计规范：
有喇叭线或者天线走线需要固定（卡槽或辅料）
点检人：结构和NPI
点检阶段：结构评审，手板，EVT",喇叭线或者天线走线需要用卡槽或辅料固定,3
工艺,A,"2023年9月22日 Y3 MAX 在皓勤首单生产，客户发现我们锁主板螺丝工站没有使用防护治具
影响：1.容易打坏主板，成本损坏大 2.有螺丝掉落的风险，造成主板短路",Y3 MAX首单导入皓勤生产，工程和NPI在治具清单中没有加上锁主板螺丝防护治具,"长期改善对策：1.NPI立即联络供应商制作防护治具，目前已完成：
2.生产SOP上面修改，备注必须使用检验治具：","1.主板防护治具作为治具必须项纳入生产治具清单中
2.建立新项目生产确认机制，治具清单为必确认项
3.NPI项目试产checklist增加治具检验项
4.IPQC巡检增加治具检验项
点检人：NPI,品质
点检阶段：EVT,DVT PVT,MP",传音项目：主板防护治具作为治具必须项纳入生产治具清单中,3
测试,A,"2023年11月29日，Y3 NEO项目在皓勤
 试产，老化测试中存在10%的比例S3/S4 卡在log问题
影响：导致老化测试需要重新进行跑","皓勤生产线用的RJ45转接头品牌存在多样性兼容性问题，导致在bios在PXE打开的情况下会出现卡logo现象
不同品牌的转接头的厂商的设备与驱动不匹配","临时对策：
1.手动关掉BIIO的，重新进行跑老化测试，老化结果OK

长期改善对策： 
在bios制作时设定在跑老化自动关掉PXE，跑完老化再重新打开
",测试用例需用增加工厂用的绿联品牌的RJ45转接器测试验证,收集测试部验证的转接器品牌，试产检查工厂使用的是否和测试部一致,3
硬件,A,IDN325项目EVT阶段16G DDR配置在标准速率3200MT/s下开机过程中卡死（在2400MT/s速率下可开机），不良率100%," 1. 对比同机型的4G/8G配置无此问题，4G/8G DDR封装类型属于SDP，16G封装类型属于DDP，DDP对主板走线要求较高
 2. IDN325项目V1.0版参照Alder lake-P系列项目的线路设计，实际Alder lake-N平台的DDR走线与P平台有细微差别","临时对策：
通过飞线在每个CTRL信号拓扑的末端增加上拉电阻，经验证16G DDR配置可达到3200MT/s标准速率
长期对策：
通过layout在每个CTRL信号拓扑的末端增加上拉电阻，增强驱动能力",Alder lake-N平台的DDR走线（尤其是DDP封装类型），硬件线路设计时需评估走线能否满足开机速率，可以参考IDN325在每个CTRL信号拓扑的末端增加上拉电阻，增强驱动能力,新平台设计时硬件原理图评审时需关注此项，前期设计预留此设计,3
软件,A,低温运行后机器出现关机现象，连接适配器开机提示低电,"目前充电逻辑为机器电量在大于90%的时候系统电量按照3~4分钟+1%的方式增加，不会强制与实际电量保持一致，在此阶段实际电量（电池电量）大于系统电量，因此机器不充电（实际电量低于系统电量时才会进行充电）。当跑满载时适配器功耗满足不了整机功耗，需要消耗电池电量，当电池电流超过-150mA时,系统电量会自动下降，直到持续下降到3%，BIOS识别电量低于3%时自动关机。",EC增加90%以上电量时系统电量与电池电量check机制，每分钟进行check使系统电量与电池电量保持一致，避免电量不一致导致不充电及低电关机,EC需增加电量check机制，避免系统电量与电池电量不一致产生关机、不充电等问题,立项时EC工程师需增加电量check机制，避免系统电量与电池电量不一致产生关机、不充电等问题,4
软件,A,"ZL513项目首单全检400pcs有3pcs Fn+F10无功能（相机打不开），比例0.75%
",相机打不开分析与OS相关，是应用在安装的过程中，建立服务失败，没有服务也就无法通过快捷键打开摄像头,更新OS，加入自动校验动作，如果服务没建立就自动修复，实在无法修复在DL2之后弹框报错拦截下来，避免流出终端,针对服务型的工具，在OS DL过程中加入自动校验动作,了解目前有哪些服务型的工具,
结构,B,"左高音喇叭线出线口与主板边干涉,锁喇叭固定螺丝后有压线风险",设计时按照喇叭线径预留板边间隙，实际喇叭出线位置有点胶保护，出线位置较宽,喇叭出线位置进行修改，避开小板边缘,结构堆叠时喇叭出线口位置距离板边或其他器件至少2mm,结构堆叠时喇叭出线口位置与板边或其他器件的距离要大于喇叭出线口点胶的长度,4
软件,A,高温运行过程中电池不充电,电池在超过45℃时（电池反馈给EC的温度）有电池保护，不充电,经确认电池规格为60℃温度保护，与EC确认更改EC设置与电池保持一致，即按照60℃温度保护设定,EC设定电池保护温度时需要确认与电池规格书一致,EC设定电池保护温度时需要确认与电池规格书一致,4
